gps_time,lax,lay,laz,avx,avy,avz,x,y,z,w
1429447989.52218,-0.344309440782107,-0.161010847096797,-9.92308208425045,-0.00069513323251158,-0.000322756095556542,0.00140997220296413,-0.00796978175640106,-0.0163444057106972,-0.67770916223526,0.735105216503143
1429447989.53718,-0.254334735221323,-0.166128555436712,-9.68045347758233,-0.000243446018430404,-0.00258528906852007,0.00250111892819405,-0.0079661151394248,-0.0163521505892277,-0.67769855260849,0.735114812850952
1429447989.54218,-0.375675871763378,-0.181756661472935,-9.86746599549055,0.000192684266949072,-0.00190796563401818,0.00156463996972889,-0.00796884205192327,-0.0163649078458548,-0.677707552909851,0.735106229782104
1429447989.55218,-0.332309315984696,-0.173955413137469,-9.84201825050116,0.000447194586740807,-0.00251040956936777,0.000936756434384733,-0.00797336269170046,-0.0163913927972317,-0.677713513374329,0.735100150108337
1429447989.56718,-0.345013935789652,-0.15763324215617,-9.74589304122031,-0.0013335645198822,0.0010512126609683,0.000218635774217546,-0.00796220730990171,-0.0163789372891188,-0.67772513628006,0.735089719295502
1429447989.57218,-0.344312253793702,-0.160752671084646,-9.95043420155644,-0.000891014409717172,0.00159198406618088,0.00173590006306767,-0.00795193761587143,-0.0163794495165348,-0.677725315093994,0.735089719295502
1429447989.58218,-0.258473369396012,-0.118941400190257,-9.64461644052565,-0.00196239072829485,0.00297897215932608,0.00099913589656353,-0.00793377868831158,-0.0163511671125889,-0.677717387676239,0.735097825527191
1429447989.59718,-0.31537582643833,-0.140817552036885,-9.96052304937243,-0.00214436859823763,-0.000840165768750012,0.00141311145853251,-0.00793554075062275,-0.0163506139069796,-0.677721738815308,0.735093832015991
1429447989.60718,-0.192976212085597,-0.112689381457632,-9.60588485107124,-0.000992741552181542,-0.00199178559705615,0.000789421028457582,-0.00793000310659409,-0.016345577314496,-0.677708804607391,0.735105872154236
1429447989.61218,-0.341583888275735,-0.15387737848768,-9.92885014625788,-0.000511069025378674,-0.00178454746492207,0.000708570063579828,-0.00793055258691311,-0.0163532327860594,-0.677714586257935,0.735100448131561
