gps_time,roll,pitch,yaw
1429448336.02297,0,-1.681122,193.3702
1429448336.23268,0,-1.423615,193.3301
1429448336.23844,0,-2.480988,193.053
1429448336.29833,0,-2.574005,192.76
1429448336.39809,0,-1.744934,192.8591
1429448336.50129,0,-2.360779,193.0368
1429448336.59913,0,-3.205811,192.9584
1429448336.69905,0,-3.912506,192.2242
1429448336.80015,0,-3.596619,192.3904
1429448336.89705,0,-2.825928,192.9376
1429448337.02346,0,-2.912781,192.7472
1429448337.23888,0,-2.830383,192.5111
1429448337.24829,0,-3.247498,192.5364
1429448337.2987,0,-3.112976,192.5217
1429448337.39833,0,-2.306244,193.3255
1429448337.50109,0,-3.646973,192.6408
1429448337.5985,0,-2.417633,192.7115
1429448337.6981,0,-2.715576,192.8232
1429448337.80049,0,-2.369934,193.0275
1429448337.89687,0,-2.556396,192.8207
1429448338.01804,0,-3.123352,192.434
1429448338.22572,0,-2.958008,192.351
1429448338.24237,0,-2.840088,192.6137
1429448338.29765,0,-2.71875,192.4924
1429448338.39833,0,-3.03299,192.3024
1429448338.50186,0,-3.141724,192.5531
1429448338.60028,0,-3.024048,192.2233
1429448338.6976,0,-3.049713,192.2189
1429448338.79744,0,-3.526245,192.2616
1429448338.8978,0,-3.138611,192.2301
1429448339.02239,0,-3.449249,192.1305
1429448339.27585,0,-3.238159,192.0661
1429448339.29419,0,-3.244843,191.7807
1429448339.30577,0,-3.513489,192.0662
1429448339.39833,0,-2.693359,192.2602
1429448339.50032,0,-3.038818,192.0423
1429448339.59914,0,-3.637665,192.2938
1429448339.70012,0,-2.060516,192.0279
1429448339.79894,0,-3.569855,192.2208
1429448339.8957,0,-3.500671,192.0887
1429448340.0345,0,-2.252563,192.3525
1429448340.23452,0,-2.818573,192.0519
1429448340.24106,0,-3.282196,192.2373
1429448340.29927,0,-2.328522,192.1506
1429448340.39845,0,-2.625732,192.0852
1429448340.50163,0,-2.881683,191.9297
1429448340.60091,0,-2.999084,191.8842
1429448340.6975,0,-3.188293,192.1048
1429448340.79859,0,-2.927216,191.8472
1429448340.89708,0,-2.855469,191.838
1429448341.02043,0,-3.2966,191.8051
1429448341.23566,0,-2.718048,192.0768
1429448341.24227,0,-3.370361,191.2884
1429448341.3004,0,-3.029358,191.8911
1429448341.39754,0,-3.218292,191.7327
1429448341.50537,0,-2.454315,192.0671
1429448341.60038,0,-2.879913,191.5812
1429448341.69942,0,-2.680023,191.9452
1429448341.80199,0,-3.245941,191.4432
1429448341.89741,0,-2.366272,191.9646
1429448342.02248,0,-2.464722,191.9749
1429448342.25481,0,-2.992249,191.5549
1429448342.26063,0,-2.368622,191.8953
1429448342.29862,0,-2.650116,191.6118
1429448342.39818,0,-2.242249,191.2305
1429448342.50052,0,-2.351501,191.3843
1429448342.6005,0,-2.859039,191.2192
1429448342.69591,0,-2.515503,191.2688
1429448342.79949,0,-2.203857,191.6579
1429448342.89712,0,-2.023834,191.4265
1429448343.02546,0,-2.315826,191.142
1429448343.24207,0,-1.562744,191.4144
1429448343.25278,0,-2.510223,191.2786
1429448343.30255,0,-2.64566,190.9715
1429448343.4004,0,-2.944366,190.9948
1429448343.5016,0,-2.031311,190.9923
1429448343.60061,0,-2.95459,190.5635
1429448343.69725,0,-1.570892,190.6173
1429448343.79914,0,-2.225891,190.5431
1429448343.89662,0,-2.362732,190.3684
1429448344.02179,0,-2.586945,189.9968
1429448344.24068,0,-2.835449,189.5948
1429448344.24855,0,-2.067566,189.4737
1429448344.29732,0,-2.768433,189.2624
1429448344.39893,0,-1.919403,188.9614
1429448344.50569,0,-2.721802,188.1816
1429448344.6012,0,-2.072113,188.0086
1429448344.69755,0,-1.83551,187.5647
1429448344.79883,0,-2.517975,187.3247
1429448344.89743,0,-1.864929,186.4057
1429448345.02332,0,-2.04541,185.4436
1429448345.2585,0,-1.965668,185.2937
1429448345.26841,0,-1.221161,184.2751
1429448345.29721,0,-2.164673,183.3551
1429448345.40168,0,-1.416687,182.6719
1429448345.50846,0,-1.022552,181.3814
1429448345.60188,0,-1.862457,180.819
1429448345.69806,0,-1.463379,179.7861
1429448345.79938,0,-1.143341,178.4326
1429448345.90132,0,-0.7868652,177.708
1429448346.02263,0,-1.799347,176.235
1429448346.22754,0,-1.768677,175.2069
1429448346.2463,0,-0.9570312,174.0321
1429448346.29941,0,-0.08700562,172.8921
1429448346.39833,0,-0.8501587,171.1366
1429448346.50404,0,-1.061005,169.9978
1429448346.60215,0,-0.2499695,168.8461
1429448346.69665,0,-0.6456299,167.151
1429448346.79857,0,-0.8617859,165.916
1429448346.89901,0,-0.8463745,164.7244
1429448347.02865,0,-0.5657959,163.4014
1429448347.2787,0,-0.6292114,162.1539
