gps_time,x,y,z,vE,vN,vU
1429448397.27382,4181964.16708139,860782.66313167,4723086.36165133,-0.593664502932838,2.38729558177924,-0.111564484403115
1429448397.30418,4181964.03754003,860782.549315387,4723086.53467822,-0.750813738294453,2.32906989290117,0.0259145655107178
1429448397.40124,4181963.87229405,860782.43836116,4723086.68359804,-0.75362084274474,2.36568960045305,-0.122779956922512
1429448397.50276,4181963.71414909,860782.333193747,4723086.82297781,-0.711256632246874,2.24151875587585,-0.13949920952677
1429448397.60055,4181963.57571962,860782.21518364,4723086.96899257,-0.876795189199987,2.16143085032443,0.0215884408184925
1429448397.69731,4181963.42112579,860782.092227517,4723087.11226507,-0.892651721983053,2.2683311815769,-0.111257323334
1429448397.80108,4181963.28364972,860781.95807394,4723087.2566413,-1.03683837803668,2.16775144195434,-0.0061086592158869
1429448397.89736,4181963.14018747,860781.823465996,4723087.38986678,-1.02922026065957,2.13755815466461,-0.12886195919115
1429448398.02759,4181962.99705851,860781.690422683,4723087.50700282,-1.01456703345538,2.02528465752795,-0.244287466105217
1429448398.24372,4181962.85950624,860781.547472564,4723087.64517797,-1.12284457402741,2.14007119384184,-0.0645953249993425
1429448398.25089,4181962.72759016,860781.390844368,4723087.77970449,-1.2681806932556,2.09513616705555,-0.0732837732169807
1429448398.29928,4181962.61365586,860781.231530529,4723087.92034123,-1.26766297244982,1.98900525391756,0.0544527009764855
1429448398.40353,4181962.49323361,860781.067123041,4723088.04169034,-1.36754915929537,1.93499915341812,-0.106593306177779
1429448398.50224,4181962.3668625,860780.898356698,4723088.15669501,-1.39824970625349,1.9425031260969,-0.198600046611596
1429448398.59995,4181962.26552313,860780.718502182,4723088.28334268,-1.55732108922866,1.85449932355033,0.0369028404948594
1429448398.6975,4181962.15948042,860780.54576004,4723088.39564957,-1.47817501510232,1.78229302596546,-0.0909988857759629
1429448398.79796,4181962.04608292,860780.36043128,4723088.51194052,-1.58662988782525,1.88139255248827,-0.12643893864059
1429448398.89608,4181961.94702333,860780.177989408,4723088.61936837,-1.58725975127073,1.71335353372858,-0.0946692033472276
1429448399.02012,4181961.84734168,860779.989806532,4723088.7296326,-1.64223728635642,1.74544933557218,-0.085368642891818
1429448399.2695,4181961.74316571,860779.798827966,4723088.82886676,-1.66055948329796,1.70870221506702,-0.200614793193225
1429448399.27462,4181961.66744489,860779.600923604,4723088.93527324,-1.78576329196441,1.55963566481009,0.0296330720881313
1429448399.30037,4181961.59669338,860779.405892734,4723089.03065198,-1.75799612371546,1.52015206955611,-0.0799288714441333
1429448399.4032,4181961.51189668,860779.196497347,4723089.12678523,-1.88001730541292,1.57437818753176,-0.121675904733272
1429448399.50146,4181961.43247777,860778.993420521,4723089.22171618,-1.82897065785098,1.51767472140387,-0.086918393592183
1429448399.60359,4181961.3680422,860778.786092789,4723089.31791199,-1.90081454869442,1.42330645665522,0.014818121308859
1429448399.69923,4181961.30162115,860778.57904156,4723089.40390699,-1.89410342597558,1.36920745582789,-0.0737018412237004
1429448399.79881,4181961.23349117,860778.364983111,4723089.49086011,-1.95929198301155,1.39857443162464,-0.0871947747295373
1429448399.89735,4181961.18078539,860778.150805456,4723089.5710175,-1.99155580967374,1.24094060629404,-0.0369829067931315
1429448400.02839,4181961.11266116,860777.931419129,4723089.65185146,-2.01148875961037,1.36564106152222,-0.139863424275607
1429448400.22521,4181961.05911975,860777.718017264,4723089.72115454,-1.98227244264962,1.17334647179286,-0.122150135798932
1429448400.23096,4181961.02780902,860777.493196365,4723089.79941907,-2.13893740387749,1.08833638261585,0.0746051205142773
1429448400.30125,4181961.00780736,860777.275240516,4723089.8814124,-2.00993180794646,1.13619431373976,-0.100058011168835
1429448400.40433,4181960.97818561,860777.053612669,4723089.94189615,-2.1110674122324,0.952439857011789,-0.0423394418131522
1429448400.50227,4181960.93891163,860776.820371166,4723090.00396118,-2.20536057916767,1.05076969237437,-0.109378748049044
1429448400.59999,4181960.92137512,860776.61262604,4723090.05731737,-1.99945442175881,0.795919052396896,0.0024103023926638
1429448400.70115,4181960.89353301,860776.394815043,4723090.1198093,-2.0772702307017,0.947161808764162,-0.0106069495306221
1429448400.80007,4181960.87663746,860776.169436977,4723090.16952601,-2.17345666302124,0.793382116073143,-0.0442242944642762
1429448400.90357,4181960.87981398,860775.931594997,4723090.22119865,-2.33600407705921,0.678865283471058,0.0848929166789119
1429448401.02107,4181960.85013718,860775.71224353,4723090.25862486,-2.08865987801633,0.7953732831254,-0.211191063608143
1429448401.22356,4181960.84679521,860775.493213186,4723090.29097686,-2.13860730966251,0.569066241109365,-0.076183139571037
1429448401.24202,4181960.83518939,860775.270505532,4723090.32786406,-2.15796513071284,0.665108613935438,-0.101465866131928
1429448401.2992,4181960.83995684,860775.042296063,4723090.37285674,-2.26557746573134,0.534322791385568,0.0623647971224113
1429448401.40029,4181960.83932912,860774.816104085,4723090.40828308,-2.21422573095712,0.580568694938221,-0.0451898008726177
1429448401.50243,4181960.84423225,860774.589668346,4723090.43411176,-2.22776390030291,0.476502176331316,-0.0807369586157335
1429448401.60023,4181960.87077151,860774.366597828,4723090.45639378,-2.23842226752299,0.290078045864797,0.0389924883030263
1429448401.69937,4181960.89083864,860774.14363223,4723090.47215085,-2.22434638555517,0.293493418816329,-0.051766014878552
1429448401.79827,4181960.92696569,860773.918348921,4723090.49184446,-2.27942561497065,0.206229523367055,0.0794969791142106
1429448401.89686,4181960.93769625,860773.687003913,4723090.4962887,-2.28759737765225,0.298522437679239,-0.20832351253152
1429448402.02753,4181960.98960655,860773.470480136,4723090.52228878,-2.22544835528508,0.120199414782248,0.24150365201653
1429448402.23147,4181961.03712949,860773.247489563,4723090.53071187,-2.27994373836461,0.0444380694450489,0.0733016199072282
1429448402.23801,4181961.07457018,860773.028784733,4723090.5302942,-2.21763950009792,0.0524194669932135,-0.052682813406608
1429448402.29759,4181961.09419601,860772.805873998,4723090.52574901,-2.30736029987263,0.0275555837960061,-0.0468265951184124
1429448402.39957,4181961.15865376,860772.586930134,4723090.52044322,-2.27444898117462,-0.176776042365581,0.0874196070224475
1429448402.50275,4181961.21508272,860772.366994799,4723090.50966265,-2.26797358648236,-0.153354706565953,-0.0071859994205848
1429448402.6013,4181961.28389327,860772.157673211,4723090.49476243,-2.18897682161073,-0.287035131842419,0.0574807823663603
1429448402.69951,4181961.3453147,860771.941154668,4723090.4815773,-2.24457215771979,-0.210929773934236,0.0121966924971278
1429448402.79792,4181961.40886982,860771.732263509,4723090.45184256,-2.17416560322684,-0.348493381564205,-0.0867079431167363
1429448402.89679,4181961.49931299,860771.528245319,4723090.42798946,-2.1806441928092,-0.512461284775616,0.139573745346223
1429448403.03611,4181961.56381386,860771.319415209,4723090.39003558,-2.17547434514763,-0.410391516224081,-0.141587782522761
1429448403.21958,4181961.65943511,860771.115483181,4723090.35927155,-2.19023962610534,-0.596501096230589,0.122153844159074
